EAR,MAR,PERCLOS,BLINKS,YAWNS,Pitch,label
0.251,0.235,0.029,2,0,0.994,0
0.252,0.232,0.029,2,0,0.994,0
0.243,0.232,0.029,2,0,0.994,0
0.24,0.249,0.029,2,0,0.011,0
0.245,0.239,0.029,2,0,0.995,0
0.248,0.232,0.029,2,0,0.995,0
0.235,0.222,0.029,2,0,0.993,0
0.232,0.229,0.028,2,0,0.991,0
0.236,0.235,0.028,2,0,0.991,0
0.238,0.235,0.028,2,0,0.996,0
0.232,0.216,0.028,2,0,0.993,0
0.234,0.216,0.028,2,0,0.989,0
0.253,0.222,0.028,2,0,0.994,0
0.234,0.229,0.028,2,0,0.993,0
0.237,0.229,0.028,2,0,0.992,0
0.255,0.219,0.028,2,0,0.995,0
0.254,0.216,0.028,2,0,0.993,0
0.237,0.226,0.028,2,0,0.996,0
0.231,0.226,0.027,2,0,0.996,0
0.264,0.233,0.027,2,0,0.992,0
0.236,0.228,0.027,2,0,0.011,0
0.244,0.239,0.027,2,0,0.999,0
0.246,0.216,0.027,2,0,0.01,0
0.248,0.223,0.027,2,0,0.996,0
0.235,0.222,0.027,2,0,0.995,0
0.236,0.222,0.027,2,0,0.996,0
0.248,0.235,0.027,2,0,0.995,0
0.249,0.235,0.027,2,0,0.992,0
0.249,0.223,0.027,2,0,0.011,0
0.247,0.223,0.027,2,0,0.993,0
0.261,0.239,0.026,2,0,0.996,0
0.26,0.239,0.026,2,0,0.994,0
0.266,0.25,0.026,2,0,0.995,0
0.24,0.361,0.026,2,0,0.014,0
0.26,0.355,0.026,2,0,0.998,0
0.27,0.418,0.026,2,0,0.019,0
0.274,0.417,0.026,2,0,0.019,0
0.267,0.418,0.026,2,0,0.019,0
0.271,0.418,0.026,2,0,0.019,0
0.27,0.416,0.026,2,0,0.998,0
0.273,0.404,0.026,2,0,0.998,0
0.259,0.378,0.026,2,0,0.018,0
0.263,0.381,0.025,2,0,0.999,0
0.259,0.385,0.025,2,0,0.019,0
0.252,0.405,0.025,2,0,0.0,0
0.253,0.424,0.025,2,0,0.001,0
0.25,0.435,0.025,2,0,0.019,0
0.24,0.435,0.025,2,0,0.999,0
0.237,0.437,0.025,2,0,1.0,0
0.252,0.398,0.025,2,0,0.017,0
0.253,0.41,0.025,2,0,0.017,0
0.25,0.386,0.025,2,0,0.021,0
0.256,0.381,0.025,2,0,0.017,0
0.244,0.381,0.025,2,0,0.998,0
0.25,0.394,0.025,2,0,0.996,0
0.239,0.37,0.025,2,0,0.998,0
0.272,0.329,0.024,2,0,0.016,0
0.249,0.329,0.024,2,0,0.014,0
0.252,0.345,0.024,2,0,0.017,0
0.253,0.344,0.024,2,0,0.017,0
0.247,0.317,0.024,2,0,0.013,0
0.251,0.323,0.024,2,0,0.012,0
0.231,0.296,0.024,2,0,0.011,0
0.243,0.314,0.024,2,0,0.011,0
0.243,0.31,0.024,2,0,0.015,0
0.257,0.317,0.024,2,0,0.016,0
0.251,0.317,0.024,2,0,0.013,0
0.238,0.308,0.024,2,0,0.011,0
0.245,0.315,0.024,2,0,0.011,0
0.266,0.336,0.024,2,0,0.012,0
0.266,0.341,0.024,2,0,0.014,0
0.252,0.33,0.023,2,0,0.01,0
0.257,0.324,0.023,2,0,0.995,0
0.263,0.295,0.023,2,0,0.013,0
0.263,0.306,0.023,2,0,0.011,0
0.259,0.32,0.023,2,0,0.012,0
0.244,0.32,0.023,2,0,0.012,0
0.242,0.314,0.023,2,0,0.013,0
0.246,0.322,0.023,2,0,0.013,0
0.25,0.322,0.023,2,0,0.013,0
0.237,0.306,0.023,2,0,0.014,0
0.242,0.317,0.023,2,0,0.014,0
0.177,0.302,0.023,3,0,0.02,0
0.177,0.301,0.024,3,0,0.02,0
0.149,0.311,0.027,3,0,0.998,0
0.151,0.275,0.031,3,0,0.998,0
0.134,0.27,0.033,3,0,0.998,0
0.107,0.292,0.036,3,0,0.994,0
0.117,0.293,0.038,3,0,0.993,0
0.149,0.307,0.041,3,0,0.996,0
0.145,0.296,0.043,3,0,0.996,0
0.13,0.296,0.045,3,0,0.997,0
0.12,0.304,0.05,3,0,0.997,0
0.137,0.307,0.051,3,0,0.016,0
0.148,0.271,0.054,3,0,0.998,0
0.156,0.275,0.056,3,0,0.997,0
0.156,0.303,0.059,3,0,0.996,0
0.147,0.302,0.06,3,0,0.996,0
0.158,0.284,0.062,3,0,0.996,0
0.16,0.288,0.064,3,0,0.996,0
0.157,0.296,0.067,3,0,0.996,0
0.168,0.295,0.071,3,0,0.015,0
0.165,0.305,0.073,3,0,0.001,0
0.143,0.306,0.076,3,0,0.013,0
0.141,0.301,0.077,3,0,0.995,0
0.147,0.289,0.079,3,0,0.013,0
0.153,0.285,0.081,3,0,0.015,0
0.141,0.302,0.084,3,0,0.997,0
0.127,0.298,0.086,3,0,0.996,0
0.155,0.271,0.088,3,0,0.016,0
0.146,0.277,0.089,3,0,0.997,0
0.149,0.292,0.091,3,0,0.997,0
0.145,0.277,0.096,3,0,0.998,0
0.156,0.293,0.097,3,0,0.997,0
0.145,0.289,0.1,3,0,0.995,0
0.138,0.277,0.101,3,0,0.999,0
0.154,0.272,0.104,3,0,0.0,0
0.146,0.272,0.106,3,0,0.001,0
0.136,0.284,0.107,3,0,0.02,0
0.168,0.295,0.111,3,0,0.998,0
0.154,0.3,0.113,3,0,0.999,0
0.158,0.27,0.116,3,0,0.997,0
0.179,0.275,0.117,3,0,0.018,0
0.182,0.286,0.12,3,0,0.997,0
0.192,0.286,0.121,3,0,0.998,0
0.151,0.298,0.123,3,0,0.013,0
0.158,0.319,0.127,3,0,0.997,0
0.174,0.319,0.128,3,0,0.018,0
0.157,0.287,0.131,3,0,0.015,0
0.146,0.299,0.132,3,0,0.999,0
0.147,0.282,0.134,3,0,0.997,0
0.151,0.296,0.136,3,0,0.994,0
0.15,0.292,0.138,3,0,0.997,0
0.142,0.287,0.139,3,0,0.996,0
0.168,0.303,0.141,3,0,0.998,0
0.158,0.298,0.143,3,0,0.998,0
0.147,0.306,0.145,3,0,0.997,0
0.131,0.269,0.149,3,0,0.998,0
0.142,0.268,0.15,3,0,0.998,0
0.164,0.199,0.152,3,0,0.99,0
0.145,0.205,0.153,3,0,0.988,0
0.137,0.209,0.156,3,0,0.985,0
0.144,0.202,0.157,3,0,0.988,0
0.118,0.212,0.159,3,0,0.988,0
0.124,0.216,0.16,3,0,0.987,0
0.155,0.227,0.163,3,0,0.988,0
0.159,0.238,0.164,3,0,0.987,0
0.161,0.212,0.166,3,0,0.99,0
0.155,0.222,0.169,3,0,0.992,0
0.15,0.222,0.17,3,0,0.994,0
0.142,0.219,0.173,3,0,0.989,0
0.152,0.232,0.174,3,0,0.99,0
0.178,0.229,0.177,3,0,0.99,0
0.171,0.226,0.178,3,0,0.99,0
0.159,0.222,0.179,3,0,0.988,0
0.221,0.236,0.183,3,0,0.99,0
0.214,0.236,0.182,3,0,0.991,0
0.25,0.212,0.182,3,0,0.989,0
0.25,0.216,0.182,3,0,0.988,0
0.266,0.243,0.181,3,0,0.99,0
0.253,0.246,0.181,3,0,0.99,0
0.264,0.223,0.181,3,0,0.991,0
0.263,0.228,0.18,3,0,0.991,0
0.27,0.236,0.18,3,0,0.99,0
0.279,0.226,0.179,3,0,0.989,0
0.278,0.219,0.179,3,0,0.989,0
0.265,0.242,0.178,3,0,0.993,0
0.274,0.242,0.178,3,0,0.992,0
0.264,0.212,0.178,3,0,0.992,0
0.273,0.212,0.177,3,0,0.993,0
0.262,0.219,0.177,3,0,0.989,0
0.272,0.226,0.177,3,0,0.99,0
0.265,0.232,0.176,3,0,0.989,0
0.274,0.225,0.176,3,0,0.987,0
0.269,0.225,0.175,3,0,0.988,0
0.269,0.219,0.175,3,0,0.991,0
0.283,0.218,0.175,3,0,0.992,0
0.27,0.206,0.174,3,0,0.991,0
0.264,0.212,0.174,3,0,0.991,0
0.263,0.219,0.174,3,0,0.994,0
0.28,0.232,0.173,3,0,0.994,0
0.26,0.218,0.173,3,0,0.99,0
0.264,0.215,0.173,3,0,0.99,0
0.272,0.231,0.172,3,0,0.992,0
0.276,0.219,0.172,3,0,0.991,0
0.263,0.219,0.171,3,0,0.991,0
0.269,0.223,0.171,3,0,0.991,0
0.276,0.221,0.171,3,0,0.993,0
0.271,0.218,0.17,3,0,0.992,0
0.264,0.218,0.17,3,0,0.992,0
0.269,0.232,0.17,3,0,0.006,0
0.256,0.239,0.169,3,0,0.992,0
0.255,0.222,0.169,3,0,0.994,0
0.249,0.222,0.168,3,0,0.99,0
0.252,0.225,0.168,3,0,0.991,0
0.258,0.231,0.168,3,0,0.989,0
0.257,0.231,0.168,3,0,0.99,0
0.249,0.236,0.167,3,0,0.991,0
0.257,0.24,0.167,3,0,0.992,0
